title,layout,URL,address,section_name,region_name,lng,lat,price,area
武昌街二段西門町商圈樓中樓大空間美套,,https://rent.591.com.tw/rent-detail-4602810.html,台北市萬華區武昌街二段,萬華,台北市,121.5056721,25.0450067,15500,10
四維路76巷優質社區信義新城住家四房(租售),4房2廳2衛,https://rent.591.com.tw/rent-detail-4744872.html,台北市大安區四維路76巷,大安,台北市,121.5471942,25.0342725,59000,40
"小北街22巷☆士林小北街,溫馨套房,5分鐘至捷運站☆",,https://rent.591.com.tw/rent-detail-4676245.html,台北市士林區小北街22巷12號,士林,台北市,121.5250630,25.0911450,11000,6.5
"錦西街限月租,年租勿來捷運3分鐘,歡迎公司行號",,https://rent.591.com.tw/rent-detail-4613749.html,台北市中山區錦西街,中山,台北市,121.5214358,25.0603312,22000,8
"林森北路107巷限月租,年租勿來林森北路精緻設計雅緻套房",,https://rent.591.com.tw/rent-detail-4602771.html,台北市中山區林森北路107巷,中山,台北市,121.5267074,25.0499431,28000,8
汀州路一段全新裝修超高生活機能國語實小南門國中學區,3房2廳1衛,https://rent.591.com.tw/rent-detail-4730391.html,台北市中正區汀州路一段,中正,台北市,121.5085466,25.0289430,20000,30
華亭街交通便利/生活機能完善/格局方正溫馨二房,2房1廳1衛,https://rent.591.com.tw/rent-detail-4697921.html,台北市大同區華亭街,大同,台北市,121.5131977,25.0529393,30000,22
"基隆路二段限月租,年租勿來,時尚月租雅房",,https://rent.591.com.tw/rent-detail-4602781.html,台北市大安區基隆路二段,大安,台北市,121.5517406,25.0237191,15000,3
"中山北路一段96巷限月租,年租勿來,捷運雙連3分鐘精美套房",,https://rent.591.com.tw/rent-detail-4602777.html,台北市中山區中山北路一段96巷,中山,台北市,121.5206035,25.0496810,28000,6
"南京東路五段1mth,1minMRT在家看101煙火",3房2廳2衛,https://rent.591.com.tw/rent-detail-4705572.html,台北市松山區南京東路五段,松山,台北市,121.5639560,25.0514899,95000,40
建國北路一段空中花園跨年煙火,2房1廳1衛,https://rent.591.com.tw/rent-detail-4733648.html,台北市中山區建國北路一段,中山,台北市,121.5364946,25.0486976,50000,22
"市民大道七段四年新屋:南港運動中心旁,近松山火車站",3房2廳2衛,https://rent.591.com.tw/rent-detail-4693004.html,台北市南港區市民大道七段,南港,台北市,121.5902044,25.0506876,45000,45
延平北路四段超值!!近大橋頭捷運~延平北路(大雅房),,https://rent.591.com.tw/rent-detail-4704061.html,台北市大同區延平北路四段12號,大同,台北市,121.5108002,25.0690811,6000,6
"成都路年租,月租都可,西門獨戶精美套房歡迎公司",,https://rent.591.com.tw/rent-detail-4602760.html,台北市萬華區成都路,萬華,台北市,121.5044233,25.0431413,19000,8
松勤街[自租]高層面向101、價可議可開發票,,https://rent.591.com.tw/rent-detail-4725343.html,台北市信義區松勤街9號,信義,台北市,121.5611810,25.0321868,70000,30
石牌路二段315巷天母靜巷綠地花園森林之鹿鳴館-誠可談-,3房2廳2衛,https://rent.591.com.tw/rent-detail-4729226.html,台北市北投區石牌路二段315巷,北投,台北市,121.5218438,25.1232966,65000,62.9
至善路二段人間仙境，自家像渡假。,5房2廳5衛,https://rent.591.com.tw/rent-detail-4706881.html,台北市士林區至善路二段,士林,台北市,121.5531678,25.1027630,130000,92
"光復南路限月租,年租勿來,101站5分精美套房",,https://rent.591.com.tw/rent-detail-4591687.html,台北市信義區光復南路505號,信義,台北市,121.5576394,25.0320723,30000,9
大安路一段84巷捷運一分鐘SOGO東區摩登優質套房,,https://rent.591.com.tw/rent-detail-4694727.html,台北市大安區大安路一段84巷,大安,台北市,121.5452310,25.0409700,16800,7
西園路二段11坪雙人床套房(含家俱)限女性-禁菸,,https://rent.591.com.tw/rent-detail-4675558.html,台北市萬華區西園路二段362號,萬華,台北市,121.4916001,25.0254086,11000,11
長春路137巷公寓大樓、大坪數、樓中樓、附設KTV,3房2廳4衛,https://rent.591.com.tw/rent-detail-4743665.html,台北市中山區長春路137巷3號,中山,台北市,121.5316474,25.0554389,96000,130
莊敬路信義莊敬路小套房全新裝潢生活機能佳,,https://rent.591.com.tw/rent-detail-4742432.html,台北市信義區莊敬路202號,信義,台北市,121.5613429,25.0304208,13000,8
八德路三段199巷敦化學區電梯二房美屋~嶄新裝潢!全新家電,2房2廳1衛,https://rent.591.com.tw/rent-detail-4733204.html,台北市松山區八德路三段199巷,松山,台北市,121.5563318,25.0490535,32000,19
民權東路三段103巷*最漂亮*超美套房*大露臺保證喜歡~,,https://rent.591.com.tw/rent-detail-4756807.html,台北市松山區民權東路三段103巷33號,松山,台北市,121.5451741,25.0639472,13800,8
八德路四段~捷運松山站~101觀景捷運水岸3房宅,3房2廳2衛,https://rent.591.com.tw/rent-detail-3825321.html,台北市松山區八德路四段,松山,台北市,121.5688828,25.0493187,42000,36
康定路高樓景觀全新裝潢家具含車位出租,2房1廳1衛,https://rent.591.com.tw/rent-detail-4746751.html,台北市萬華區康定路105號,萬華,台北市,121.5020431,25.0394756,32000,22
復興南路二段捷運科技大樓站，高樓套房，可住可辦可登記,,https://rent.591.com.tw/rent-detail-4727143.html,台北市大安區復興南路二段,大安,台北市,121.5435743,25.0273218,19600,9.3
通化街38巷28A-A安和郵局101信義安和,2房1廳1衛,https://rent.591.com.tw/rent-detail-4744103.html,台北市大安區通化街38巷,大安,台北市,121.5536512,25.0309229,23428,22
復興南路一段02A-A市民大道微風SOGO忠孝東路,2房1廳1衛,https://rent.591.com.tw/rent-detail-4668855.html,台北市大安區復興南路一段,大安,台北市,121.5436340,25.0390336,26902,20
吳興街284巷台北101/北醫精美裝潢飯店式管理套房,,https://rent.591.com.tw/rent-detail-4703134.html,台北市信義區吳興街284巷,信義,台北市,121.5635727,25.0242317,15900,8
臨沂街75巷東門捷運站-溫馨挑高小套房（挑高陽光屋）,,https://rent.591.com.tw/rent-detail-4687869.html,台北市中正區臨沂街75巷,中正,台北市,121.5289666,25.0346353,15000,8
瑞安街208巷MRT大安.鳥語花香精美套房ENG,1房0廳1衛,https://rent.591.com.tw/rent-detail-4698618.html,台北市大安區瑞安街208巷,大安,台北市,121.5405520,25.0294923,31000,12.4
羅斯福路三段古亭捷運站師大台大旁優質出租雅房,,https://rent.591.com.tw/rent-detail-4717903.html,台北市大安區羅斯福路三段,大安,台北市,121.5285157,25.0205098,10000,10
中山北路二段115巷五星級雙捷運好宅,,https://rent.591.com.tw/rent-detail-4753484.html,台北市中山區中山北路二段115巷,中山,台北市,121.5242866,25.0608948,15000,9
"大南路士林夜市,劍潭捷運,生活機能佳",5房1廳2衛,https://rent.591.com.tw/rent-detail-4704848.html,台北市士林區大南路27號,士林,台北市,121.5256318,25.0890822,25000,46
忠孝東路六段忠孝無極前後大陽台邊間3房含車位,3房2廳2衛,https://rent.591.com.tw/rent-detail-4679084.html,台北市南港區忠孝東路六段,南港,台北市,121.5890952,25.0492267,45000,48
